  cell  ,E,W,N,S
"(1, 1)",1,0,0,0
"(2, 1)",1,0,0,1
"(3, 1)",0,0,1,1
"(4, 1)",0,0,1,1
"(5, 1)",0,0,1,1
"(6, 1)",1,0,1,0
"(7, 1)",1,0,0,1
"(8, 1)",1,0,1,1
"(9, 1)",0,0,1,1
"(10, 1)",0,0,1,1
"(11, 1)",0,0,1,1
"(12, 1)",0,0,1,1
"(13, 1)",0,0,1,1
"(14, 1)",0,0,1,1
"(15, 1)",1,0,1,0
"(16, 1)",1,0,0,1
"(17, 1)",0,0,1,1
"(18, 1)",0,0,1,1
"(19, 1)",1,0,1,1
"(20, 1)",0,0,1,1
"(21, 1)",0,0,1,1
"(22, 1)",1,0,1,0
"(23, 1)",1,0,0,1
"(24, 1)",0,0,1,1
"(25, 1)",1,0,1,1
"(26, 1)",0,0,1,1
"(27, 1)",1,0,1,0
"(28, 1)",1,0,0,1
"(29, 1)",1,0,1,1
"(30, 1)",0,0,1,1
"(31, 1)",0,0,1,1
"(32, 1)",0,0,1,1
"(33, 1)",0,0,1,0
"(34, 1)",1,0,0,1
"(35, 1)",0,0,1,1
"(36, 1)",1,0,1,0
"(37, 1)",1,0,0,1
"(38, 1)",1,0,1,1
"(39, 1)",0,0,1,1
"(40, 1)",0,0,1,1
"(41, 1)",0,0,1,1
"(42, 1)",0,0,1,1
"(43, 1)",0,0,1,0
"(44, 1)",1,0,0,1
"(45, 1)",0,0,1,1
"(46, 1)",0,0,1,1
"(47, 1)",1,0,1,1
"(48, 1)",1,0,1,0
"(49, 1)",1,0,0,1
"(50, 1)",0,0,1,1
"(51, 1)",1,0,1,0
"(52, 1)",1,0,0,1
"(53, 1)",0,0,1,1
"(54, 1)",0,0,1,0
"(55, 1)",1,0,0,1
"(56, 1)",0,0,1,1
"(57, 1)",1,0,1,0
"(58, 1)",1,0,0,1
"(59, 1)",0,0,1,1
"(60, 1)",0,0,1,1
"(61, 1)",1,0,1,1
"(62, 1)",0,0,1,1
"(63, 1)",1,0,1,0
"(64, 1)",1,0,0,1
"(65, 1)",0,0,1,1
"(66, 1)",0,0,1,1
"(67, 1)",0,0,1,1
"(68, 1)",1,0,1,1
"(69, 1)",0,0,1,1
"(70, 1)",1,0,1,0
"(71, 1)",0,0,0,1
"(72, 1)",1,0,1,1
"(73, 1)",0,0,1,1
"(74, 1)",0,0,1,1
"(75, 1)",0,0,1,1
"(76, 1)",1,0,1,1
"(77, 1)",0,0,1,1
"(78, 1)",0,0,1,1
"(79, 1)",0,0,1,1
"(80, 1)",1,0,1,0
"(81, 1)",1,0,0,1
"(82, 1)",1,0,1,1
"(83, 1)",1,0,1,1
"(84, 1)",0,0,1,1
"(85, 1)",0,0,1,0
"(86, 1)",1,0,0,1
"(87, 1)",1,0,1,1
"(88, 1)",0,0,1,1
"(89, 1)",0,0,1,1
"(90, 1)",1,0,1,0
"(91, 1)",0,0,0,1
"(92, 1)",1,0,1,1
"(93, 1)",0,0,1,1
"(94, 1)",0,0,1,1
"(95, 1)",0,0,1,1
"(96, 1)",0,0,1,1
"(97, 1)",1,0,1,1
